ID,Education,JoiningYear,City,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot,Salary,Department,Age_Group
99,Bachelors,2014,Bangalore,3,29,Female,0,0,41466,Sales,26-35
100,Bachelors,2015,Bangalore,3,24,Female,2,1,43867,Sales,18-25
101,Masters,2012,Pune,3,25,Male,3,1,58439,Sales,26-35
102,Bachelors,2013,Pune,3,25,Male,3,0,45524,Sales,26-35
103,Masters,2017,New Delhi,3,26,Female,4,1,52646,Sales,26-35
104,Bachelors,2015,Pune,2,28,Female,1,1,64560,HR,26-35
105,Bachelors,2017,New Delhi,3,28,Male,2,0,44554,Sales,26-35
106,Masters,2015,Pune,1,28,Female,3,1,104315,IT,26-35
107,Masters,2015,New Delhi,3,25,Male,3,0,51060,Sales,26-35
108,Bachelors,2017,Bangalore,3,28,Male,1,0,46981,Sales,26-35
109,Masters,2013,Pune,3,25,Male,3,0,50838,Sales,26-35
110,Bachelors,2015,Bangalore,2,25,Female,3,1,67047,HR,26-35
111,Bachelors,2015,Bangalore,3,27,Female,5,0,46443,Sales,26-35
112,Bachelors,2017,Pune,2,27,Female,5,1,63135,HR,26-35
113,Bachelors,2013,Bangalore,3,27,Male,5,1,41779,Sales,26-35
114,Bachelors,2012,Bangalore,3,25,Male,3,0,43534,Sales,26-35
115,Masters,2017,New Delhi,2,28,Male,2,0,76948,HR,26-35
116,Bachelors,2014,Pune,1,26,Female,4,1,80670,IT,26-35
117,Bachelors,2015,Bangalore,3,28,Male,2,0,40078,Sales,26-35
118,Masters,2013,New Delhi,3,26,Male,4,0,55990,Sales,26-35
119,Bachelors,2017,Bangalore,3,26,Female,4,0,45328,Sales,26-35
120,Bachelors,2017,New Delhi,2,25,Male,3,0,68005,HR,26-35
121,Bachelors,2012,Bangalore,1,28,Female,3,0,99367,IT,26-35
122,Phd,2015,New Delhi,3,26,Male,4,0,63685,Sales,26-35
123,Bachelors,2015,New Delhi,3,25,Female,3,0,44566,Sales,26-35
124,Bachelors,2012,Bangalore,3,26,Male,4,1,40523,Sales,26-35
125,Bachelors,2014,Bangalore,3,28,Female,3,0,45933,Sales,26-35
126,Masters,2014,Pune,3,24,Male,2,0,57314,Sales,18-25
127,Bachelors,2013,Bangalore,3,28,Male,1,0,47621,Sales,26-35
128,Bachelors,2015,Pune,3,27,Male,5,0,43161,Sales,26-35
129,Bachelors,2018,Bangalore,3,25,Male,3,1,43052,Sales,26-35
130,Masters,2013,Pune,1,24,Male,2,1,106434,IT,18-25
131,Bachelors,2017,Bangalore,3,26,Female,4,0,40545,Sales,26-35
132,Bachelors,2013,Bangalore,3,28,Male,1,1,44531,Sales,26-35
133,Masters,2016,New Delhi,3,27,Male,5,0,58162,Sales,26-35
134,Masters,2017,Bangalore,3,26,Male,4,0,57192,Sales,26-35
135,Masters,2017,New Delhi,2,24,Male,2,0,74732,HR,18-25
136,Masters,2018,New Delhi,3,26,Male,4,1,55653,Sales,26-35
137,Masters,2017,New Delhi,1,25,Female,3,1,116038,IT,26-35
138,Bachelors,2012,Pune,3,28,Male,2,0,48979,Sales,26-35
139,Bachelors,2017,New Delhi,3,28,Male,2,0,40569,Sales,26-35
140,Bachelors,2013,Bangalore,3,26,Male,4,0,48474,Sales,26-35
141,Masters,2013,New Delhi,3,27,Male,5,1,58186,Sales,26-35
142,Bachelors,2017,Pune,2,24,Female,2,1,63339,HR,18-25
143,Bachelors,2017,New Delhi,3,28,Female,2,0,45692,Sales,26-35
144,Bachelors,2016,Bangalore,3,26,Male,4,0,44988,Sales,26-35
145,Bachelors,2013,Bangalore,3,27,Female,5,0,43899,Sales,26-35
146,Masters,2015,Pune,2,28,Female,3,0,77177,HR,26-35
147,Bachelors,2014,Bangalore,3,25,Male,3,0,44389,Sales,26-35
148,Bachelors,2016,Pune,3,28,Male,1,0,45810,Sales,26-35
149,Masters,2013,Bangalore,1,25,Male,3,1,112738,IT,26-35
150,Bachelors,2015,Pune,3,26,Male,4,0,40182,Sales,26-35
151,Bachelors,2018,New Delhi,3,27,Female,5,1,45065,Sales,26-35
152,Bachelors,2016,Bangalore,3,24,Male,2,1,42891,Sales,18-25
153,Bachelors,2012,Pune,2,24,Female,2,1,60631,HR,18-25
154,Bachelors,2014,Bangalore,3,26,Male,4,0,43133,Sales,26-35
155,Bachelors,2016,Pune,2,24,Female,2,1,68043,HR,18-25
156,Masters,2012,New Delhi,3,26,Female,4,0,53873,Sales,26-35
157,Bachelors,2013,Bangalore,3,28,Female,3,0,45173,Sales,26-35
158,Bachelors,2012,Bangalore,3,24,Male,2,1,43746,Sales,18-25
159,Bachelors,2015,Bangalore,3,25,Male,3,1,41394,Sales,26-35
160,Bachelors,2016,Bangalore,3,28,Male,3,0,47509,Sales,26-35
161,Bachelors,2014,Bangalore,3,28,Female,3,0,49939,Sales,26-35
162,Bachelors,2013,Bangalore,3,26,Female,4,0,41057,Sales,26-35
163,Masters,2017,New Delhi,3,24,Female,2,1,55597,Sales,18-25
164,Bachelors,2016,Bangalore,3,25,Male,3,1,40573,Sales,26-35
165,Bachelors,2015,Bangalore,3,25,Male,3,0,43756,Sales,26-35
166,Bachelors,2014,Bangalore,3,27,Male,5,0,48695,Sales,26-35
167,Bachelors,2012,Bangalore,3,24,Male,2,0,45313,Sales,18-25
168,Bachelors,2014,Bangalore,3,25,Male,3,0,43781,Sales,26-35
169,Bachelors,2015,Bangalore,3,28,Male,3,0,47396,Sales,26-35
170,Masters,2015,New Delhi,3,26,Male,4,1,58126,Sales,26-35
171,Bachelors,2014,New Delhi,3,28,Female,1,0,43463,Sales,26-35
172,Bachelors,2015,Pune,3,25,Male,3,0,44879,Sales,26-35
173,Masters,2015,Pune,2,28,Female,2,0,73513,HR,26-35
174,Bachelors,2014,Bangalore,3,27,Female,5,0,49967,Sales,26-35
175,Bachelors,2013,Bangalore,3,26,Male,4,0,41878,Sales,26-35
176,Bachelors,2016,Bangalore,3,26,Male,4,0,42431,Sales,26-35
177,Bachelors,2012,Bangalore,3,25,Male,3,0,49667,Sales,26-35
178,Bachelors,2015,Bangalore,3,25,Male,3,0,45588,Sales,26-35
179,Bachelors,2014,New Delhi,3,24,Female,2,0,42637,Sales,18-25
180,Bachelors,2012,Bangalore,3,27,Male,5,1,46082,Sales,26-35
181,Masters,2017,New Delhi,3,27,Male,5,1,56394,Sales,26-35
182,Bachelors,2015,Pune,3,27,Male,5,0,45233,Sales,26-35
183,Bachelors,2018,Bangalore,3,24,Male,2,1,45867,Sales,18-25
184,Masters,2017,New Delhi,3,27,Male,5,1,56901,Sales,26-35
185,Masters,2017,New Delhi,2,28,Female,1,1,72682,HR,26-35
186,Masters,2017,Pune,2,24,Male,2,1,79146,HR,18-25
187,Masters,2016,New Delhi,3,25,Female,3,1,55449,Sales,26-35
188,Phd,2015,New Delhi,3,28,Female,1,0,65959,Sales,26-35
189,Bachelors,2017,New Delhi,2,26,Male,4,0,60308,HR,26-35
190,Bachelors,2013,Bangalore,2,27,Male,5,0,63192,HR,26-35
191,Bachelors,2015,Bangalore,3,26,Male,4,0,48946,Sales,26-35
192,Bachelors,2015,Bangalore,3,26,Male,4,0,41099,Sales,26-35
193,Bachelors,2013,Bangalore,3,28,Male,1,0,43410,Sales,26-35
194,Bachelors,2015,Bangalore,3,27,Female,5,0,42229,Sales,26-35
195,Bachelors,2013,New Delhi,3,25,Female,3,0,40390,Sales,26-35
196,Bachelors,2013,Pune,3,28,Male,1,0,41312,Sales,26-35
197,Bachelors,2017,Pune,3,24,Male,2,0,41018,Sales,18-25
198,Bachelors,2013,New Delhi,3,27,Female,5,0,49657,Sales,26-35
199,Bachelors,2015,Bangalore,3,28,Male,2,0,42007,Sales,26-35
200,Bachelors,2015,Pune,3,28,Male,3,0,40552,Sales,26-35
201,Bachelors,2014,Pune,2,25,Female,3,1,61119,HR,26-35
202,Bachelors,2014,Bangalore,3,25,Male,3,0,48830,Sales,26-35
203,Bachelors,2017,Bangalore,3,27,Male,5,0,40612,Sales,26-35
204,Bachelors,2014,Pune,2,26,Female,4,1,64273,HR,26-35
205,Phd,2013,New Delhi,3,24,Male,2,0,63147,Sales,18-25
206,Bachelors,2015,Pune,2,26,Female,4,1,64260,HR,26-35
207,Bachelors,2017,Bangalore,3,25,Male,3,0,46480,Sales,26-35
208,Masters,2013,Pune,2,27,Male,5,1,75621,HR,26-35
209,Masters,2017,Bangalore,3,28,Male,2,0,51523,Sales,26-35
210,Bachelors,2012,Bangalore,3,25,Male,3,1,49895,Sales,26-35
211,Bachelors,2017,Bangalore,3,27,Male,5,0,44778,Sales,26-35
212,Masters,2017,Pune,2,27,Female,5,0,72404,HR,26-35
213,Masters,2013,Bangalore,2,28,Female,2,1,77063,HR,26-35
214,Masters,2017,Pune,3,28,Male,1,1,53479,Sales,26-35
215,Bachelors,2018,Bangalore,3,27,Female,5,1,47720,Sales,26-35
216,Bachelors,2014,New Delhi,3,25,Female,3,0,41700,Sales,26-35
217,Masters,2017,New Delhi,3,27,Male,5,1,51564,Sales,26-35
218,Masters,2013,New Delhi,3,26,Male,4,1,51918,Sales,26-35
219,Bachelors,2013,Pune,2,25,Female,3,1,66605,HR,26-35
220,Masters,2012,New Delhi,3,26,Male,4,1,59889,Sales,26-35
221,Bachelors,2016,Bangalore,3,25,Male,3,1,45681,Sales,26-35
222,Bachelors,2013,Pune,2,26,Male,4,0,60412,HR,26-35
223,Bachelors,2018,Bangalore,3,28,Female,2,1,44984,Sales,26-35
224,Bachelors,2013,Bangalore,3,27,Male,5,0,46785,Sales,26-35
225,Bachelors,2015,Pune,1,24,Female,2,1,91237,IT,18-25
226,Bachelors,2013,Pune,3,28,Male,2,0,40205,Sales,26-35
227,Bachelors,2015,Pune,2,27,Female,5,1,66760,HR,26-35
228,Bachelors,2018,Bangalore,3,25,Male,3,1,49902,Sales,26-35
229,Bachelors,2014,Pune,2,27,Female,5,1,62079,HR,26-35
230,Bachelors,2013,Pune,3,24,Male,2,0,44409,Sales,18-25
231,Bachelors,2014,Pune,3,24,Male,2,0,42144,Sales,18-25
232,Phd,2015,New Delhi,2,25,Female,3,0,84411,HR,26-35
233,Bachelors,2014,Bangalore,3,26,Male,4,0,42353,Sales,26-35
234,Bachelors,2018,Bangalore,3,24,Male,2,1,42616,Sales,18-25
235,Masters,2015,Pune,2,25,Female,3,0,79032,HR,26-35
236,Bachelors,2015,Bangalore,3,24,Male,2,0,43771,Sales,18-25
237,Bachelors,2014,New Delhi,3,24,Female,2,0,44965,Sales,18-25
238,Masters,2017,Bangalore,2,26,Female,4,1,79765,HR,26-35
239,Bachelors,2012,New Delhi,3,28,Male,1,0,43960,Sales,26-35
240,Masters,2017,Pune,2,26,Female,4,0,75348,HR,26-35
241,Bachelors,2016,Pune,3,25,Male,3,0,42313,Sales,26-35
242,Bachelors,2017,New Delhi,3,24,Male,2,1,49774,Sales,18-25
243,Bachelors,2013,Pune,2,28,Female,3,1,60215,HR,26-35
244,Bachelors,2014,Bangalore,3,25,Female,3,1,47345,Sales,26-35
245,Bachelors,2014,Bangalore,3,25,Male,3,0,42822,Sales,26-35
246,Bachelors,2014,Pune,2,24,Female,2,1,65892,HR,18-25
247,Bachelors,2015,Bangalore,3,28,Male,2,1,46434,Sales,26-35
248,Bachelors,2015,Bangalore,3,27,Male,5,0,43936,Sales,26-35
249,Bachelors,2016,Pune,3,26,Male,4,0,48078,Sales,26-35
250,Masters,2015,New Delhi,3,26,Female,4,1,58790,Sales,26-35
251,Bachelors,2016,Bangalore,1,28,Female,2,0,98977,IT,26-35
252,Bachelors,2014,Bangalore,3,25,Male,3,0,42869,Sales,26-35
253,Bachelors,2014,Bangalore,3,27,Male,5,0,48763,Sales,26-35
254,Bachelors,2017,Bangalore,3,28,Male,2,0,45158,Sales,26-35
255,Masters,2018,New Delhi,3,24,Female,2,1,54626,Sales,18-25
256,Bachelors,2017,Pune,2,25,Male,3,0,63334,HR,26-35
257,Bachelors,2018,Pune,2,24,Female,2,1,67235,HR,18-25
258,Masters,2017,New Delhi,2,28,Female,1,0,75406,HR,26-35
259,Bachelors,2013,New Delhi,1,27,Female,5,0,95701,IT,26-35
260,Bachelors,2017,New Delhi,2,27,Female,5,0,68688,HR,26-35
261,Bachelors,2017,Bangalore,3,28,Male,1,0,42117,Sales,26-35
262,Bachelors,2016,Pune,2,27,Female,5,1,66329,HR,26-35
263,Masters,2018,Bangalore,3,24,Male,2,1,54354,Sales,18-25
264,Bachelors,2012,Pune,1,26,Male,4,0,97445,IT,26-35
265,Bachelors,2016,Bangalore,3,26,Male,4,0,48024,Sales,26-35
266,Masters,2016,New Delhi,1,27,Male,5,0,116390,IT,26-35
267,Bachelors,2015,New Delhi,3,26,Female,4,0,47192,Sales,26-35
268,Bachelors,2012,Bangalore,3,27,Male,5,0,45717,Sales,26-35
269,Bachelors,2013,Bangalore,3,24,Male,2,1,42925,Sales,18-25
270,Bachelors,2018,Bangalore,3,26,Female,4,1,48995,Sales,26-35
271,Masters,2017,Pune,2,26,Female,4,1,72075,HR,26-35
272,Masters,2017,New Delhi,2,28,Female,2,0,79110,HR,26-35
273,Bachelors,2013,Pune,3,28,Male,1,0,47371,Sales,26-35
274,Masters,2013,New Delhi,3,25,Male,3,0,53069,Sales,26-35
275,Bachelors,2018,Bangalore,3,28,Female,1,1,47727,Sales,26-35
276,Bachelors,2013,Pune,3,27,Female,5,1,43109,Sales,26-35
277,Bachelors,2012,Bangalore,3,25,Male,3,0,43656,Sales,26-35
278,Bachelors,2014,Bangalore,3,28,Male,1,0,40337,Sales,26-35
279,Bachelors,2017,New Delhi,3,28,Female,3,0,44480,Sales,26-35
280,Masters,2017,New Delhi,2,28,Male,2,0,76976,HR,26-35
281,Bachelors,2014,Bangalore,3,25,Male,3,0,46445,Sales,26-35
282,Masters,2017,New Delhi,3,26,Male,4,0,57740,Sales,26-35
283,Bachelors,2015,Pune,1,25,Female,3,1,92329,IT,26-35
284,Masters,2013,New Delhi,3,27,Male,5,0,59626,Sales,26-35
285,Phd,2014,Bangalore,3,24,Female,2,0,64610,Sales,18-25
286,Masters,2017,New Delhi,2,27,Female,5,0,76131,HR,26-35
287,Bachelors,2018,Bangalore,3,26,Male,4,1,47651,Sales,26-35
288,Bachelors,2012,Bangalore,3,26,Male,4,0,40761,Sales,26-35
289,Masters,2015,Pune,3,27,Female,5,1,51032,Sales,26-35
290,Bachelors,2018,Bangalore,3,26,Male,4,1,46303,Sales,26-35
291,Bachelors,2016,Bangalore,3,24,Male,2,0,49424,Sales,18-25
292,Masters,2017,New Delhi,2,25,Female,3,0,77622,HR,26-35
293,Bachelors,2017,New Delhi,2,28,Male,1,0,61837,HR,26-35
294,Bachelors,2012,New Delhi,3,27,Female,5,0,41990,Sales,26-35
295,Masters,2013,New Delhi,3,26,Male,4,1,52174,Sales,26-35
296,Bachelors,2015,Bangalore,3,26,Female,4,1,48609,Sales,26-35
297,Bachelors,2014,Pune,3,28,Male,2,0,49754,Sales,26-35
298,Bachelors,2016,Bangalore,3,24,Female,2,1,40680,Sales,18-25
299,Bachelors,2012,Bangalore,3,28,Male,3,0,42312,Sales,26-35
300,Bachelors,2012,Bangalore,3,27,Male,5,0,42037,Sales,26-35
301,Bachelors,2013,Bangalore,3,26,Male,4,0,45720,Sales,26-35
302,Bachelors,2014,New Delhi,3,28,Female,1,0,48665,Sales,26-35
303,Bachelors,2014,New Delhi,3,27,Female,5,0,47065,Sales,26-35
304,Bachelors,2015,Pune,3,26,Female,4,1,46939,Sales,26-35
305,Masters,2014,New Delhi,3,26,Male,4,1,50188,Sales,26-35
306,Phd,2015,New Delhi,3,25,Female,3,0,60332,Sales,26-35
307,Masters,2015,New Delhi,3,25,Male,3,0,58282,Sales,26-35
308,Bachelors,2012,Pune,3,27,Male,5,0,46298,Sales,26-35
309,Masters,2017,New Delhi,2,24,Female,2,0,75639,HR,18-25
310,Bachelors,2016,Bangalore,3,24,Male,2,0,41170,Sales,18-25
311,Masters,2015,Pune,3,28,Female,2,0,57623,Sales,26-35
312,Bachelors,2017,Bangalore,3,24,Female,2,0,44827,Sales,18-25
313,Bachelors,2017,Pune,3,25,Male,3,0,44270,Sales,26-35
314,Bachelors,2017,Bangalore,1,25,Male,3,0,88021,IT,26-35
315,Masters,2015,Pune,3,28,Female,2,0,56825,Sales,26-35
316,Bachelors,2017,Pune,3,26,Male,4,0,45472,Sales,26-35
317,Bachelors,2014,Pune,3,24,Male,2,0,41963,Sales,18-25
318,Bachelors,2014,Pune,3,25,Female,3,1,49879,Sales,26-35
319,Bachelors,2018,Pune,3,26,Female,4,1,43196,Sales,26-35
320,Bachelors,2016,Bangalore,3,27,Male,5,0,40131,Sales,26-35
321,Bachelors,2017,Bangalore,3,28,Female,2,0,49447,Sales,26-35
322,Bachelors,2012,Pune,3,28,Male,2,0,46627,Sales,26-35
323,Masters,2012,New Delhi,3,24,Female,2,1,51521,Sales,18-25
324,Bachelors,2013,Bangalore,3,26,Male,4,0,48904,Sales,26-35
325,Bachelors,2015,New Delhi,3,26,Female,4,0,48825,Sales,26-35
326,Bachelors,2017,Bangalore,3,28,Male,1,0,45318,Sales,26-35
327,Bachelors,2018,Pune,3,25,Male,3,1,46357,Sales,26-35
328,Masters,2017,New Delhi,3,24,Male,2,0,52169,Sales,18-25
329,Bachelors,2013,Bangalore,3,28,Male,2,1,40689,Sales,26-35
330,Bachelors,2017,Bangalore,3,24,Male,2,0,46680,Sales,18-25
331,Masters,2017,New Delhi,2,25,Female,3,1,70997,HR,26-35
332,Bachelors,2013,Pune,2,28,Female,1,1,65637,HR,26-35
333,Bachelors,2015,Bangalore,3,24,Female,2,0,47739,Sales,18-25
334,Bachelors,2016,Pune,3,26,Male,4,0,41730,Sales,26-35
335,Bachelors,2015,New Delhi,2,27,Female,5,1,65762,HR,26-35
336,Bachelors,2018,Bangalore,3,24,Female,2,1,40430,Sales,18-25
337,Bachelors,2013,Bangalore,3,27,Female,5,0,49751,Sales,26-35
338,Bachelors,2013,Bangalore,3,24,Male,2,0,42394,Sales,18-25
339,Bachelors,2013,Bangalore,3,24,Female,2,0,47184,Sales,18-25
340,Bachelors,2013,Bangalore,3,27,Male,5,0,47886,Sales,26-35
341,Bachelors,2017,Bangalore,3,26,Female,4,0,47935,Sales,26-35
342,Bachelors,2015,Bangalore,3,24,Female,2,0,48160,Sales,18-25
343,Bachelors,2012,Pune,3,24,Female,2,1,40242,Sales,18-25
344,Bachelors,2016,Bangalore,3,24,Male,2,1,41054,Sales,18-25
345,Bachelors,2012,Bangalore,3,28,Male,3,0,48520,Sales,26-35
346,Bachelors,2017,New Delhi,2,27,Male,5,0,64771,HR,26-35
347,Bachelors,2012,Pune,2,27,Female,5,1,66463,HR,26-35
348,Masters,2017,Pune,2,27,Male,5,0,73229,HR,26-35
349,Bachelors,2017,Pune,2,24,Male,2,1,69485,HR,18-25
350,Bachelors,2016,Pune,1,26,Female,4,1,97431,IT,26-35
351,Bachelors,2015,Pune,3,26,Female,4,1,48787,Sales,26-35
352,Bachelors,2016,Bangalore,3,25,Male,3,1,43864,Sales,26-35
353,Bachelors,2012,Pune,3,26,Male,4,0,42774,Sales,26-35
354,Bachelors,2017,Bangalore,3,28,Male,2,0,45753,Sales,26-35
355,Bachelors,2012,Bangalore,3,25,Male,3,0,48732,Sales,26-35
356,Bachelors,2017,Bangalore,3,25,Female,3,0,48250,Sales,26-35
357,Masters,2017,Pune,2,26,Male,4,0,76623,HR,26-35
358,Masters,2017,Pune,3,28,Male,1,1,51519,Sales,26-35
359,Masters,2015,Pune,2,25,Female,3,1,79311,HR,26-35
360,Bachelors,2017,New Delhi,2,26,Female,4,0,69258,HR,26-35
361,Bachelors,2017,New Delhi,2,26,Male,4,0,67481,HR,26-35
362,Bachelors,2016,Bangalore,3,27,Male,5,0,46377,Sales,26-35
363,Bachelors,2017,New Delhi,3,27,Female,5,0,44731,Sales,26-35
364,Bachelors,2015,New Delhi,3,24,Female,2,0,41622,Sales,18-25
365,Masters,2017,Bangalore,1,26,Female,4,1,103733,IT,26-35
366,Bachelors,2017,New Delhi,1,28,Female,2,0,95557,IT,26-35
367,Bachelors,2015,Bangalore,3,24,Male,2,0,49350,Sales,18-25
368,Masters,2015,Pune,2,25,Female,3,1,76539,HR,26-35
