Education,JoiningYear,City,PaymentTier,Age,Gender,ExperienceInCurrentDomain,LeaveOrNot,Salary,Department
Bachelors,2018,New Delhi,2,34,Female,0,1,62057,HR
Bachelors,2017,Pune,2,29,Female,2,1,63700,HR
Bachelors,2014,Pune,3,30,Male,4,0,45587,Sales
Bachelors,2015,Bangalore,3,36,Male,1,0,44808,Sales
Masters,2017,New Delhi,2,23,Male,1,0,79039,HR
Bachelors,2013,Bangalore,3,30,Male,3,1,40647,Sales
Bachelors,2014,Bangalore,3,36,Male,0,0,41138,Sales
Bachelors,2015,Pune,3,39,Male,4,0,44704,Sales
Bachelors,2014,Bangalore,3,23,Female,1,0,49221,Sales
PHD,2012,New Delhi,3,27,Male,5,0,69804,Sales
Masters,2013,New Delhi,3,35,Male,2,0,56096,Sales
Masters,2017,New Delhi,2,34,Male,0,0,72076,HR
Bachelors,2013,Bangalore,3,30,Female,1,0,42195,Sales
PHD,2017,New Delhi,3,34,Male,2,0,62822,Sales
Bachelors,2015,Pune,2,26,Female,4,1,62623,HR
Bachelors,2016,Bangalore,3,34,Female,0,0,47205,Sales
Bachelors,2014,Bangalore,3,31,Female,5,0,44474,Sales
Bachelors,2017,New Delhi,3,31,Female,5,0,45696,Sales
PHD,2013,New Delhi,3,28,Male,2,0,68752,Sales
Bachelors,2016,Bangalore,3,38,Male,2,0,47888,Sales
Masters,2014,Pune,3,39,Female,2,0,50366,Sales
Bachelors,2013,Pune,3,32,Male,4,0,43034,Sales
Masters,2017,Pune,2,36,Male,2,1,75863,HR
Masters,2013,New Delhi,3,29,Male,3,0,52874,Sales
Bachelors,2015,Bangalore,3,30,Male,5,0,48029,Sales
PHD,2013,Bangalore,2,25,Male,3,1,85026,HR
Bachelors,2014,Pune,1,22,Female,0,1,84857,IT
Bachelors,2016,Bangalore,3,34,Male,4,0,48465,Sales
Bachelors,2018,Bangalore,3,40,Male,1,1,45334,Sales
PHD,2013,Bangalore,3,26,Male,4,0,63564,Sales
Bachelors,2014,New Delhi,3,28,Male,0,0,47480,Sales
Bachelors,2015,Bangalore,3,24,Female,2,0,44641,Sales
Masters,2017,Bangalore,3,40,Female,2,1,51137,Sales
Bachelors,2018,Bangalore,3,23,Female,1,1,48718,Sales
Masters,2017,Bangalore,3,31,Male,4,0,54377,Sales
Bachelors,2014,Pune,3,25,Female,3,0,44158,Sales
Bachelors,2014,Bangalore,1,27,Male,5,0,87359,IT
Masters,2017,New Delhi,2,25,Female,3,1,78782,HR
Bachelors,2015,Bangalore,3,40,Male,0,1,49399,Sales
Bachelors,2014,Bangalore,1,23,Female,1,0,84812,IT
Bachelors,2017,Bangalore,3,23,Female,1,0,47772,Sales
Bachelors,2012,Bangalore,3,39,Male,1,0,47367,Sales
PHD,2015,New Delhi,1,37,Male,1,0,123238,IT
Bachelors,2017,Pune,3,38,Male,2,0,44938,Sales
Bachelors,2013,Bangalore,3,31,Female,0,1,48807,Sales
Bachelors,2016,Bangalore,3,38,Male,5,0,45742,Sales
Bachelors,2017,Bangalore,3,25,Female,3,0,41495,Sales
Bachelors,2015,Bangalore,3,27,Female,5,1,41659,Sales
Bachelors,2016,Pune,2,36,Male,0,1,69305,HR
Bachelors,2017,Pune,2,27,Female,5,1,64731,HR
Masters,2015,Pune,2,32,Female,4,0,76081,HR
Bachelors,2014,Bangalore,3,28,Male,4,0,42555,Sales
Masters,2012,New Delhi,3,32,Male,2,0,57433,Sales
Bachelors,2018,Bangalore,3,30,Male,0,1,45039,Sales
Bachelors,2015,New Delhi,3,22,Male,0,0,48981,Sales
Bachelors,2017,New Delhi,2,34,Female,5,0,61316,HR
Masters,2013,New Delhi,3,36,Male,2,0,50906,Sales
Bachelors,2014,Bangalore,3,39,Male,3,1,49576,Sales
PHD,2018,Bangalore,3,26,Male,4,1,61288,Sales
Bachelors,2016,Bangalore,3,31,Female,0,0,47229,Sales
Bachelors,2014,Bangalore,3,27,Male,5,1,40058,Sales
Bachelors,2014,Bangalore,3,29,Female,0,0,41466,Sales
Bachelors,2015,Bangalore,3,24,Female,2,1,43867,Sales
Masters,2012,Pune,3,25,Male,3,1,58439,Sales
Bachelors,2013,Pune,3,25,Male,3,0,45524,Sales
Masters,2017,New Delhi,3,26,Female,4,1,52646,Sales
Bachelors,2015,Pune,2,28,Female,1,1,64560,HR
Bachelors,2017,New Delhi,3,28,Male,2,0,44554,Sales
Masters,2015,Pune,1,28,Female,3,1,104315,IT
Masters,2015,New Delhi,3,25,Male,3,0,51060,Sales
Bachelors,2017,Bangalore,3,28,Male,1,0,46981,Sales
Masters,2013,Pune,3,25,Male,3,0,50838,Sales
Bachelors,2015,Bangalore,2,25,Female,3,1,67047,HR
Bachelors,2015,Bangalore,3,27,Female,5,0,46443,Sales
Bachelors,2017,Pune,2,27,Female,5,1,63135,HR
Bachelors,2013,Bangalore,3,27,Male,5,1,41779,Sales
Bachelors,2012,Bangalore,3,25,Male,3,0,43534,Sales
Masters,2017,New Delhi,2,28,Male,2,0,76948,HR
Bachelors,2014,Pune,1,26,Female,4,1,80670,IT
Bachelors,2015,Bangalore,3,28,Male,2,0,40078,Sales
Masters,2013,New Delhi,3,26,Male,4,0,55990,Sales
Bachelors,2017,Bangalore,3,26,Female,4,0,45328,Sales
Bachelors,2017,New Delhi,2,25,Male,3,0,68005,HR
Bachelors,2012,Bangalore,1,28,Female,3,0,99367,IT
PHD,2015,New Delhi,3,26,Male,4,0,63685,Sales
Bachelors,2015,New Delhi,3,25,Female,3,0,44566,Sales
Bachelors,2012,Bangalore,3,26,Male,4,1,40523,Sales
Bachelors,2014,Bangalore,3,28,Female,3,0,45933,Sales
Masters,2014,Pune,3,24,Male,2,0,57314,Sales
Bachelors,2013,Bangalore,3,28,Male,1,0,47621,Sales
Bachelors,2015,Pune,3,27,Male,5,0,43161,Sales
Bachelors,2018,Bangalore,3,25,Male,3,1,43052,Sales
Masters,2013,Pune,1,24,Male,2,1,106434,IT
Bachelors,2017,Bangalore,3,26,Female,4,0,40545,Sales
Bachelors,2013,Bangalore,3,28,Male,1,1,44531,Sales
Masters,2016,New Delhi,3,27,Male,5,0,58162,Sales
Masters,2017,Bangalore,3,26,Male,4,0,57192,Sales
Masters,2017,New Delhi,2,24,Male,2,0,74732,HR
Masters,2018,New Delhi,3,26,Male,4,1,55653,Sales
Masters,2017,New Delhi,1,25,Female,3,1,116038,IT
Bachelors,2012,Pune,3,28,Male,2,0,48979,Sales
Bachelors,2017,New Delhi,3,28,Male,2,0,40569,Sales
Bachelors,2013,Bangalore,3,26,Male,4,0,48474,Sales
Masters,2013,New Delhi,3,27,Male,5,1,58186,Sales
Bachelors,2017,Pune,2,24,Female,2,1,63339,HR
Bachelors,2017,New Delhi,3,28,Female,2,0,45692,Sales
Bachelors,2016,Bangalore,3,26,Male,4,0,44988,Sales
Bachelors,2013,Bangalore,3,27,Female,5,0,43899,Sales
Masters,2015,Pune,2,28,Female,3,0,77177,HR
Bachelors,2014,Bangalore,3,25,Male,3,0,44389,Sales
Bachelors,2016,Pune,3,28,Male,1,0,45810,Sales
Masters,2013,Bangalore,1,25,Male,3,1,112738,IT
Bachelors,2015,Pune,3,26,Male,4,0,40182,Sales
Bachelors,2018,New Delhi,3,27,Female,5,1,45065,Sales
Bachelors,2016,Bangalore,3,24,Male,2,1,42891,Sales
Bachelors,2012,Pune,2,24,Female,2,1,60631,HR
Bachelors,2014,Bangalore,3,26,Male,4,0,43133,Sales
Bachelors,2016,Pune,2,24,Female,2,1,68043,HR
Masters,2012,New Delhi,3,26,Female,4,0,53873,Sales
Bachelors,2013,Bangalore,3,28,Female,3,0,45173,Sales
Bachelors,2012,Bangalore,3,24,Male,2,1,43746,Sales
Bachelors,2015,Bangalore,3,25,Male,3,1,41394,Sales
Bachelors,2016,Bangalore,3,28,Male,3,0,47509,Sales
Bachelors,2014,Bangalore,3,28,Female,3,0,49939,Sales
Bachelors,2013,Bangalore,3,26,Female,4,0,41057,Sales
Masters,2017,New Delhi,3,24,Female,2,1,55597,Sales
Bachelors,2016,Bangalore,3,25,Male,3,1,40573,Sales
Bachelors,2015,Bangalore,3,25,Male,3,0,43756,Sales
Bachelors,2014,Bangalore,3,27,Male,5,0,48695,Sales
Bachelors,2012,Bangalore,3,24,Male,2,0,45313,Sales
Bachelors,2014,Bangalore,3,25,Male,3,0,43781,Sales
Bachelors,2015,Bangalore,3,28,Male,3,0,47396,Sales
Masters,2015,New Delhi,3,26,Male,4,1,58126,Sales
Bachelors,2014,New Delhi,3,28,Female,1,0,43463,Sales
Bachelors,2015,Pune,3,25,Male,3,0,44879,Sales
Masters,2015,Pune,2,28,Female,2,0,73513,HR
Bachelors,2014,Bangalore,3,27,Female,5,0,49967,Sales
Bachelors,2013,Bangalore,3,26,Male,4,0,41878,Sales
Bachelors,2016,Bangalore,3,26,Male,4,0,42431,Sales
Bachelors,2012,Bangalore,3,25,Male,3,0,49667,Sales
Bachelors,2015,Bangalore,3,25,Male,3,0,45588,Sales
Bachelors,2014,New Delhi,3,24,Female,2,0,42637,Sales
Bachelors,2012,Bangalore,3,27,Male,5,1,46082,Sales
Masters,2017,New Delhi,3,27,Male,5,1,56394,Sales
Bachelors,2015,Pune,3,27,Male,5,0,45233,Sales
Bachelors,2018,Bangalore,3,24,Male,2,1,45867,Sales
Masters,2017,New Delhi,3,27,Male,5,1,56901,Sales
Masters,2017,New Delhi,2,28,Female,1,1,72682,HR
Masters,2017,Pune,2,24,Male,2,1,79146,HR
Masters,2016,New Delhi,3,25,Female,3,1,55449,Sales
PHD,2015,New Delhi,3,28,Female,1,0,65959,Sales
Bachelors,2017,New Delhi,2,26,Male,4,0,60308,HR
Bachelors,2013,Bangalore,2,27,Male,5,0,63192,HR
Bachelors,2015,Bangalore,3,26,Male,4,0,48946,Sales
Bachelors,2015,Bangalore,3,26,Male,4,0,41099,Sales
Bachelors,2013,Bangalore,3,28,Male,1,0,43410,Sales
Bachelors,2015,Bangalore,3,27,Female,5,0,42229,Sales
Bachelors,2013,New Delhi,3,25,Female,3,0,40390,Sales
Bachelors,2013,Pune,3,28,Male,1,0,41312,Sales
Bachelors,2017,Pune,3,24,Male,2,0,41018,Sales
Bachelors,2013,New Delhi,3,27,Female,5,0,49657,Sales
Bachelors,2015,Bangalore,3,28,Male,2,0,42007,Sales
Bachelors,2015,Pune,3,28,Male,3,0,40552,Sales
Bachelors,2014,Pune,2,25,Female,3,1,61119,HR
Bachelors,2014,Bangalore,3,25,Male,3,0,48830,Sales
Bachelors,2017,Bangalore,3,27,Male,5,0,40612,Sales
Bachelors,2014,Pune,2,26,Female,4,1,64273,HR
PHD,2013,New Delhi,3,24,Male,2,0,63147,Sales
Bachelors,2015,Pune,2,26,Female,4,1,64260,HR
Bachelors,2017,Bangalore,3,25,Male,3,0,46480,Sales
Masters,2013,Pune,2,27,Male,5,1,75621,HR
Masters,2017,Bangalore,3,28,Male,2,0,51523,Sales
Bachelors,2012,Bangalore,3,25,Male,3,1,49895,Sales
Bachelors,2017,Bangalore,3,27,Male,5,0,44778,Sales
Masters,2017,Pune,2,27,Female,5,0,72404,HR
Masters,2013,Bangalore,2,28,Female,2,1,77063,HR
Masters,2017,Pune,3,28,Male,1,1,53479,Sales
Bachelors,2018,Bangalore,3,27,Female,5,1,47720,Sales
Bachelors,2014,New Delhi,3,25,Female,3,0,41700,Sales
Masters,2017,New Delhi,3,27,Male,5,1,51564,Sales
Masters,2013,New Delhi,3,26,Male,4,1,51918,Sales
Bachelors,2013,Pune,2,25,Female,3,1,66605,HR
Masters,2012,New Delhi,3,26,Male,4,1,59889,Sales
Bachelors,2016,Bangalore,3,25,Male,3,1,45681,Sales
Bachelors,2013,Pune,2,26,Male,4,0,60412,HR
Bachelors,2018,Bangalore,3,28,Female,2,1,44984,Sales
Bachelors,2013,Bangalore,3,27,Male,5,0,46785,Sales
Bachelors,2015,Pune,1,24,Female,2,1,91237,IT
Bachelors,2013,Pune,3,28,Male,2,0,40205,Sales
Bachelors,2015,Pune,2,27,Female,5,1,66760,HR
Bachelors,2018,Bangalore,3,25,Male,3,1,49902,Sales
Bachelors,2014,Pune,2,27,Female,5,1,62079,HR
Bachelors,2013,Pune,3,24,Male,2,0,44409,Sales
Bachelors,2014,Pune,3,24,Male,2,0,42144,Sales
PHD,2015,New Delhi,2,25,Female,3,0,84411,HR
Bachelors,2014,Bangalore,3,26,Male,4,0,42353,Sales
Bachelors,2018,Bangalore,3,24,Male,2,1,42616,Sales
Masters,2015,Pune,2,25,Female,3,0,79032,HR
Bachelors,2015,Bangalore,3,24,Male,2,0,43771,Sales
Bachelors,2014,New Delhi,3,24,Female,2,0,44965,Sales
Masters,2017,Bangalore,2,26,Female,4,1,79765,HR
Bachelors,2012,New Delhi,3,28,Male,1,0,43960,Sales
Masters,2017,Pune,2,26,Female,4,0,75348,HR
Bachelors,2016,Pune,3,25,Male,3,0,42313,Sales
Bachelors,2017,New Delhi,3,24,Male,2,1,49774,Sales
Bachelors,2013,Pune,2,28,Female,3,1,60215,HR
Bachelors,2014,Bangalore,3,25,Female,3,1,47345,Sales
Bachelors,2014,Bangalore,3,25,Male,3,0,42822,Sales
Bachelors,2014,Pune,2,24,Female,2,1,65892,HR
Bachelors,2015,Bangalore,3,28,Male,2,1,46434,Sales
Bachelors,2015,Bangalore,3,27,Male,5,0,43936,Sales
Bachelors,2016,Pune,3,26,Male,4,0,48078,Sales
Masters,2015,New Delhi,3,26,Female,4,1,58790,Sales
Bachelors,2016,Bangalore,1,28,Female,2,0,98977,IT
Bachelors,2014,Bangalore,3,25,Male,3,0,42869,Sales
Bachelors,2014,Bangalore,3,27,Male,5,0,48763,Sales
Bachelors,2017,Bangalore,3,28,Male,2,0,45158,Sales
Masters,2018,New Delhi,3,24,Female,2,1,54626,Sales
Bachelors,2017,Pune,2,25,Male,3,0,63334,HR
Bachelors,2018,Pune,2,24,Female,2,1,67235,HR
Masters,2017,New Delhi,2,28,Female,1,0,75406,HR
Bachelors,2013,New Delhi,1,27,Female,5,0,95701,IT
Bachelors,2017,New Delhi,2,27,Female,5,0,68688,HR
Bachelors,2017,Bangalore,3,28,Male,1,0,42117,Sales
Bachelors,2016,Pune,2,27,Female,5,1,66329,HR
Masters,2018,Bangalore,3,24,Male,2,1,54354,Sales
Bachelors,2012,Pune,1,26,Male,4,0,97445,IT
Bachelors,2016,Bangalore,3,26,Male,4,0,48024,Sales
Masters,2016,New Delhi,1,27,Male,5,0,116390,IT
Bachelors,2015,New Delhi,3,26,Female,4,0,47192,Sales
Bachelors,2012,Bangalore,3,27,Male,5,0,45717,Sales
Bachelors,2013,Bangalore,3,24,Male,2,1,42925,Sales
Bachelors,2018,Bangalore,3,26,Female,4,1,48995,Sales
Masters,2017,Pune,2,26,Female,4,1,72075,HR
Masters,2017,New Delhi,2,28,Female,2,0,79110,HR
Bachelors,2013,Pune,3,28,Male,1,0,47371,Sales
Masters,2013,New Delhi,3,25,Male,3,0,53069,Sales
Bachelors,2018,Bangalore,3,28,Female,1,1,47727,Sales
Bachelors,2013,Pune,3,27,Female,5,1,43109,Sales
Bachelors,2012,Bangalore,3,25,Male,3,0,43656,Sales
Bachelors,2014,Bangalore,3,28,Male,1,0,40337,Sales
Bachelors,2017,New Delhi,3,28,Female,3,0,44480,Sales
Masters,2017,New Delhi,2,28,Male,2,0,76976,HR
Bachelors,2014,Bangalore,3,25,Male,3,0,46445,Sales
Masters,2017,New Delhi,3,26,Male,4,0,57740,Sales
Bachelors,2015,Pune,1,25,Female,3,1,92329,IT
Masters,2013,New Delhi,3,27,Male,5,0,59626,Sales
PHD,2014,Bangalore,3,24,Female,2,0,64610,Sales
Masters,2017,New Delhi,2,27,Female,5,0,76131,HR
Bachelors,2018,Bangalore,3,26,Male,4,1,47651,Sales
Bachelors,2012,Bangalore,3,26,Male,4,0,40761,Sales
Masters,2015,Pune,3,27,Female,5,1,51032,Sales
Bachelors,2018,Bangalore,3,26,Male,4,1,46303,Sales
Bachelors,2016,Bangalore,3,24,Male,2,0,49424,Sales
Masters,2017,New Delhi,2,25,Female,3,0,77622,HR
Bachelors,2017,New Delhi,2,28,Male,1,0,61837,HR
Bachelors,2012,New Delhi,3,27,Female,5,0,41990,Sales
Masters,2013,New Delhi,3,26,Male,4,1,52174,Sales
Bachelors,2015,Bangalore,3,26,Female,4,1,48609,Sales
Bachelors,2014,Pune,3,28,Male,2,0,49754,Sales
Bachelors,2016,Bangalore,3,24,Female,2,1,40680,Sales
Bachelors,2012,Bangalore,3,28,Male,3,0,42312,Sales
Bachelors,2012,Bangalore,3,27,Male,5,0,42037,Sales
Bachelors,2013,Bangalore,3,26,Male,4,0,45720,Sales
Bachelors,2014,New Delhi,3,28,Female,1,0,48665,Sales
Bachelors,2014,New Delhi,3,27,Female,5,0,47065,Sales
Bachelors,2015,Pune,3,26,Female,4,1,46939,Sales
Masters,2014,New Delhi,3,26,Male,4,1,50188,Sales
PHD,2015,New Delhi,3,25,Female,3,0,60332,Sales
Masters,2015,New Delhi,3,25,Male,3,0,58282,Sales
Bachelors,2012,Pune,3,27,Male,5,0,46298,Sales
Masters,2017,New Delhi,2,24,Female,2,0,75639,HR
Bachelors,2016,Bangalore,3,24,Male,2,0,41170,Sales
Masters,2015,Pune,3,28,Female,2,0,57623,Sales
Bachelors,2017,Bangalore,3,24,Female,2,0,44827,Sales
Bachelors,2017,Pune,3,25,Male,3,0,44270,Sales
Bachelors,2017,Bangalore,1,25,Male,3,0,88021,IT
Masters,2015,Pune,3,28,Female,2,0,56825,Sales
Bachelors,2017,Pune,3,26,Male,4,0,45472,Sales
Bachelors,2014,Pune,3,24,Male,2,0,41963,Sales
Bachelors,2014,Pune,3,25,Female,3,1,49879,Sales
Bachelors,2018,Pune,3,26,Female,4,1,43196,Sales
Bachelors,2016,Bangalore,3,27,Male,5,0,40131,Sales
Bachelors,2017,Bangalore,3,28,Female,2,0,49447,Sales
Bachelors,2012,Pune,3,28,Male,2,0,46627,Sales
Masters,2012,New Delhi,3,24,Female,2,1,51521,Sales
Bachelors,2013,Bangalore,3,26,Male,4,0,48904,Sales
Bachelors,2015,New Delhi,3,26,Female,4,0,48825,Sales
Bachelors,2017,Bangalore,3,28,Male,1,0,45318,Sales
Bachelors,2018,Pune,3,25,Male,3,1,46357,Sales
Masters,2017,New Delhi,3,24,Male,2,0,52169,Sales
Bachelors,2013,Bangalore,3,28,Male,2,1,40689,Sales
Bachelors,2017,Bangalore,3,24,Male,2,0,46680,Sales
Masters,2017,New Delhi,2,25,Female,3,1,70997,HR
Bachelors,2013,Pune,2,28,Female,1,1,65637,HR
Bachelors,2015,Bangalore,3,24,Female,2,0,47739,Sales
Bachelors,2016,Pune,3,26,Male,4,0,41730,Sales
Bachelors,2015,New Delhi,2,27,Female,5,1,65762,HR
Bachelors,2018,Bangalore,3,24,Female,2,1,40430,Sales
Bachelors,2013,Bangalore,3,27,Female,5,0,49751,Sales
Bachelors,2013,Bangalore,3,24,Male,2,0,42394,Sales
Bachelors,2013,Bangalore,3,24,Female,2,0,47184,Sales
Bachelors,2013,Bangalore,3,27,Male,5,0,47886,Sales
Bachelors,2017,Bangalore,3,26,Female,4,0,47935,Sales
Bachelors,2015,Bangalore,3,24,Female,2,0,48160,Sales
Bachelors,2012,Pune,3,24,Female,2,1,40242,Sales
Bachelors,2016,Bangalore,3,24,Male,2,1,41054,Sales
Bachelors,2012,Bangalore,3,28,Male,3,0,48520,Sales
Bachelors,2017,New Delhi,2,27,Male,5,0,64771,HR
Bachelors,2012,Pune,2,27,Female,5,1,66463,HR
Masters,2017,Pune,2,27,Male,5,0,73229,HR
Bachelors,2017,Pune,2,24,Male,2,1,69485,HR
Bachelors,2016,Pune,1,26,Female,4,1,97431,IT
Bachelors,2015,Pune,3,26,Female,4,1,48787,Sales
Bachelors,2016,Bangalore,3,25,Male,3,1,43864,Sales
Bachelors,2012,Pune,3,26,Male,4,0,42774,Sales
Bachelors,2017,Bangalore,3,28,Male,2,0,45753,Sales
Bachelors,2012,Bangalore,3,25,Male,3,0,48732,Sales
Bachelors,2017,Bangalore,3,25,Female,3,0,48250,Sales
Masters,2017,Pune,2,26,Male,4,0,76623,HR
Masters,2017,Pune,3,28,Male,1,1,51519,Sales
Masters,2015,Pune,2,25,Female,3,1,79311,HR
Bachelors,2017,New Delhi,2,26,Female,4,0,69258,HR
Bachelors,2017,New Delhi,2,26,Male,4,0,67481,HR
Bachelors,2016,Bangalore,3,27,Male,5,0,46377,Sales
Bachelors,2017,New Delhi,3,27,Female,5,0,44731,Sales
Bachelors,2015,New Delhi,3,24,Female,2,0,41622,Sales
Masters,2017,Bangalore,1,26,Female,4,1,103733,IT
Bachelors,2017,New Delhi,1,28,Female,2,0,95557,IT
Bachelors,2015,Bangalore,3,24,Male,2,0,49350,Sales
Masters,2015,Pune,2,25,Female,3,1,76539,HR
Bachelors,2014,Bangalore,3,25,Female,3,0,45714,Sales
Bachelors,2014,Bangalore,3,28,Male,2,0,42801,Sales
Bachelors,2017,Bangalore,3,28,Male,3,0,49899,Sales
Masters,2015,New Delhi,1,27,Male,5,0,113262,IT
Bachelors,2014,Pune,1,26,Female,4,1,85828,IT
Masters,2018,Bangalore,3,25,Male,3,1,56265,Sales
Bachelors,2016,Bangalore,3,28,Female,3,0,49587,Sales
Bachelors,2018,New Delhi,3,26,Female,4,1,44507,Sales
Bachelors,2015,Pune,2,24,Female,2,1,60177,HR
Bachelors,2017,Bangalore,3,27,Male,5,0,47700,Sales
Bachelors,2014,Bangalore,3,26,Male,4,0,43579,Sales
Bachelors,2014,Bangalore,3,24,Male,2,0,44306,Sales
Bachelors,2016,Bangalore,3,28,Male,2,0,49207,Sales
Bachelors,2015,Pune,2,25,Female,3,1,69472,HR
Bachelors,2013,Pune,3,27,Male,5,0,46953,Sales
Bachelors,2015,Bangalore,3,28,Male,3,0,43727,Sales
Bachelors,2014,Bangalore,3,26,Male,4,0,47047,Sales
Bachelors,2012,Bangalore,3,24,Male,2,0,48709,Sales
Bachelors,2013,Bangalore,3,27,Male,5,0,48636,Sales
Bachelors,2015,Bangalore,3,26,Female,4,1,46026,Sales
Bachelors,2015,Pune,3,28,Male,2,0,41276,Sales
Bachelors,2014,New Delhi,2,24,Female,2,1,63254,HR
Bachelors,2013,Bangalore,3,24,Male,2,0,40096,Sales
Bachelors,2018,Bangalore,3,28,Male,3,1,45834,Sales
Bachelors,2015,Pune,3,27,Male,5,0,41382,Sales
Bachelors,2014,Pune,2,26,Male,4,0,63701,HR
Bachelors,2016,Bangalore,3,25,Male,3,1,40152,Sales
PHD,2013,Bangalore,3,25,Male,3,0,61242,Sales
Bachelors,2014,Bangalore,3,25,Male,3,0,49904,Sales
Bachelors,2017,New Delhi,2,28,Female,1,0,66648,HR
Bachelors,2015,Pune,1,26,Female,4,1,81990,IT
Masters,2017,New Delhi,3,26,Male,4,1,52188,Sales
Bachelors,2014,Bangalore,3,27,Male,5,0,46705,Sales
Bachelors,2012,New Delhi,3,24,Female,2,0,40980,Sales
Bachelors,2017,New Delhi,2,24,Male,2,0,69761,HR
Bachelors,2015,Bangalore,3,26,Male,4,0,47255,Sales
Bachelors,2012,Bangalore,3,26,Female,4,0,45538,Sales
Bachelors,2015,Bangalore,3,24,Male,2,0,48973,Sales
Masters,2014,Pune,3,25,Male,3,0,56102,Sales
Bachelors,2015,Bangalore,3,28,Male,2,0,42799,Sales
Bachelors,2016,Pune,3,24,Male,2,0,41177,Sales
Bachelors,2016,Bangalore,3,26,Female,4,0,40362,Sales
Bachelors,2015,Pune,2,25,Female,3,1,66112,HR
Masters,2013,New Delhi,2,25,Male,3,1,77926,HR
Bachelors,2017,Pune,3,25,Male,3,0,48258,Sales
Bachelors,2015,Pune,2,26,Female,4,1,60720,HR
Masters,2015,Bangalore,2,26,Female,4,1,77420,HR
Bachelors,2012,Pune,3,27,Female,5,0,44128,Sales
Masters,2017,New Delhi,3,28,Male,2,0,57672,Sales
Bachelors,2016,Pune,3,25,Male,3,0,49045,Sales
Bachelors,2016,Bangalore,3,24,Male,2,0,42597,Sales
Bachelors,2016,Pune,3,28,Male,1,0,43816,Sales
Bachelors,2013,New Delhi,3,27,Female,5,0,43364,Sales
Bachelors,2015,New Delhi,3,26,Male,4,0,49472,Sales
Bachelors,2016,Bangalore,3,27,Male,5,0,42683,Sales
Bachelors,2017,Pune,2,27,Male,5,0,66188,HR
Bachelors,2012,Bangalore,3,27,Male,5,0,47210,Sales
PHD,2018,New Delhi,3,25,Male,3,1,64278,Sales
Bachelors,2014,Pune,3,27,Male,5,0,48441,Sales
Bachelors,2013,Bangalore,3,26,Female,4,0,41115,Sales
Masters,2017,Pune,2,24,Female,2,1,75097,HR
PHD,2016,New Delhi,2,28,Male,3,1,82692,HR
Masters,2014,New Delhi,3,26,Male,4,1,51491,Sales
Masters,2017,New Delhi,2,27,Male,5,1,77404,HR
PHD,2013,New Delhi,3,27,Male,5,0,67207,Sales
Masters,2014,New Delhi,3,28,Female,1,0,54640,Sales
Bachelors,2017,Pune,3,27,Male,5,0,44530,Sales
Bachelors,2015,Pune,3,26,Female,4,1,42951,Sales
Masters,2014,Bangalore,3,26,Male,4,1,53311,Sales
Masters,2012,Pune,3,27,Male,5,0,55184,Sales
